what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1326480512419
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1326480512420
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1326480512420
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1326480512457
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1326480512458
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1326480512458
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1326480512458
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1326480512459
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1326480512460
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1326480512461
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326480512461
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1326480512480
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326480512480
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1326480512481
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1326480512481
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1326480512483
started,bundle,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.adt",1326480512483
started,bundle,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms",1326480512483
started,bundle,com.android.ide.eclipse.traceview,14.0.0.v201110171935-205994,"com.android.ide.eclipse.traceview",1326480512483
os,sysinfo,,,"win32",1326480512486
arch,sysinfo,,,"x86",1326480512486
ws,sysinfo,,,"win32",1326480512486
locale,sysinfo,,,"en_US",1326480512486
processors,sysinfo,,,"4",1326480512486
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326480512486
java.runtime.version,sysinfo,,,"1.7.0-b147",1326480512486
java.specification.name,sysinfo,,,"Java Platform API Specification",1326480512486
java.specification.vendor,sysinfo,,,"Oracle Corporation",1326480512486
java.specification.version,sysinfo,,,"1.7",1326480512486
java.vendor,sysinfo,,,"Oracle Corporation",1326480512486
java.version,sysinfo,,,"1.7.0",1326480512486
java.vm.info,sysinfo,,,"mixed mode",1326480512486
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326480512486
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326480512486
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1326480512486
java.vm.specification.version,sysinfo,,,"1.7",1326480512486
java.vm.vendor,sysinfo,,,"Oracle Corporation",1326480512486
java.vm.version,sysinfo,,,"21.0-b17",1326480512486
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326480536982
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326480537009
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1326480537082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326480540416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326480541697
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326480541818
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1326480542759
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1326480543281
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1326480543323
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1326480543349
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1326480543393
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1326480543415
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1326480543437
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1326480543450
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,14.0.0.v201110171935-205994,"overlay.com.android.ide.eclipse.adt.overlay",1326480543503
stopped,bundle,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.adt",1326480543503
